Shoe name,Sale price,Original price,Discount percentage,More info,Shoe picture
Mens Asics Japan S White/Gold Sneaker,"R1,199.95","R1,599.95",-25% off,https://www.bash.com/mens-asics-japan-s-white-gold-sneaker-190605acbx5/p,https://thefoschini.vtexassets.com/arquivos/ids/223968442-300-400/0db241a1-a898-4301-88ce-416ea19d0dae.png?v=639058005340700000
Mens Asics Gel-Excite Green/Black Sneaker,"R1,399.95","R1,799.95",-22% off,https://www.bash.com/mens-asics-gel-excite-green-black-sneaker-190605acbt9/p,https://thefoschini.vtexassets.com/arquivos/ids/223968595-300-400/0fd8e967-e7bc-4948-9367-55c33e2a558a.png?v=639058005765700000
Women's Asics Tiger Runner Cream/Grey Sneaker,"R1,299.95","R1,699.95",-24% off,https://www.bash.com/women-s-asics-tiger-runner-cream-grey-sneaker-190605acbw1/p,https://thefoschini.vtexassets.com/arquivos/ids/223786759-300-400/5e012e4f-6502-4a15-8ddf-8279bbd17217.png?v=639050126672600000
Women's Asics Lyte Classic White/Purple Sneaker,"R1,399.95","R1,799.95",-22% off,https://www.bash.com/women-s-asics-lyte-classic-white-purple-sneaker-190605acbv7/p,https://thefoschini.vtexassets.com/arquivos/ids/223786296-300-400/94036b0c-5c66-4177-9a23-5fff7d574fbf.png?v=639050124540430000
Women's Asics Patriot 14 Black/White Sneaker,R999.95,"R1,399.95",-29% off,https://www.bash.com/women-s-asics-patriot-14-black-white-sneaker-190605acbu5/p,https://thefoschini.vtexassets.com/arquivos/ids/223784268-300-400/4f8fdb26-f39c-46ca-b7a1-5557e8402b6e.png?v=639050116363200000
Women's Converse RSL CX Star Studded Hi-Top Burgundy/White Sneaker,"R1,499.95","R2,599.95",-42% off,https://www.bash.com/women-s-converse-rsl-cx-star-studded-hi-top-burgundy-white-sneaker-190605acae7/p,https://thefoschini.vtexassets.com/arquivos/ids/223777329-300-400/dfceb567-4c86-4c41-9cbe-9aabf9232d73.png?v=639047708989530000
Women's TomTom  ERL095-6 White/Purple Sneaker,R299.95,R399.95,-25% off,https://www.bash.com/women-s-tomtom-tt-erl095-6-white-purple-sneaker-190605abxq3/p,https://thefoschini.vtexassets.com/arquivos/ids/223776064-300-400/0748c900-f3ca-420d-82dd-82c4acfd875f.png?v=639047698704630000
Men's Superga Juno Jogger Black/White Sneaker,R999.95,"R1,199.95",-17% off,https://www.bash.com/men-s-superga-juno-jogger-black-white-sneaker-190605abzx2/p,https://thefoschini.vtexassets.com/arquivos/ids/223719547-300-400/56b9a8ce-11d0-4cef-874c-e62782a92f5e.png?v=639045824908730000
Men's Kappa Logo Karushi White/Black Sneaker,R799.95,R999.95,-20% off,https://www.bash.com/men-s-kappa-logo-karushi-white-black-sneaker-190605abue8/p,https://thefoschini.vtexassets.com/arquivos/ids/223716881-300-400/75ea9700-0420-4f68-a30f-49101e2eec5a.png?v=639045790801030000
Men's Kappa Authentic Nessa White/Black Sneaker,R899.95,"R1,199.95",-25% off,https://www.bash.com/men-s-kappa-mer-white-black-sneaker-190605abue1/p,https://thefoschini.vtexassets.com/arquivos/ids/223716851-300-400/34930ba8-87f4-49a1-831c-405d71abddf7.png?v=639045790320300000
